Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
76715522,"Kingdom of Ash (Throne of Glass, #7)",Sarah J. Maas,"Maas, Sarah J.",,"=""1639731067""","=""9781639731060""",0,Bloomsbury Publishing,Hardcover,984,2023,2018,,2024/12/05,"to-read, not-bought, romantasy","to-read (#27), not-bought (#92), romantasy (#44)",to-read,,,,0,0
76714487,"Tower of Dawn (Throne of Glass, #6)",Sarah J. Maas,"Maas, Sarah J.",,"=""1639731040""","=""9781639731046""",0,Bloomsbury Publishing,Hardcover,688,2023,2017,,2024/12/05,"to-read, not-bought, romantasy","to-read (#26), not-bought (#91), romantasy (#43)",to-read,,,,0,0
76713323,"Empire of Storms (Throne of Glass, #5)",Sarah J. Maas,"Maas, Sarah J.",,"=""1639731024""","=""9781639731022""",0,Bloomsbury Publishing,Hardcover,733,2023,2016,,2024/12/05,"to-read, not-bought, romantasy","to-read (#25), not-bought (#90), romantasy (#42)",to-read,,,,0,0
76707900,"Queen of Shadows (Throne of Glass, #4)",Sarah J. Maas,"Maas, Sarah J.",,"=""1639731008""","=""9781639731008""",0,Bloomsbury Publishing,Hardcover,648,2023,2015,,2024/12/05,"to-read, not-bought, romantasy","to-read (#24), not-bought (#89), romantasy (#41)",to-read,,,,0,0
76706470,"Heir of Fire (Throne of Glass, #3)",Sarah J. Maas,"Maas, Sarah J.",,"=""""","=""""",0,Bloomsbury USA Childrens,Hardcover,576,2023,2014,,2024/12/05,"to-read, not-bought, romantasy","to-read (#23), not-bought (#88), romantasy (#40)",to-read,,,,0,0
76705490,"Crown of Midnight (Throne of Glass, #2)",Sarah J. Maas,"Maas, Sarah J.",,"=""1639730966""","=""9781639730964""",0,Bloomsbury Publishing,Hardcover,420,2023,2013,,2024/12/05,"to-read, not-bought, romantasy","to-read (#22), not-bought (#87), romantasy (#39)",to-read,,,,0,0
126062562,"The Assassin's Blade (Throne of Glass, #0.1-0.5)",Sarah J. Maas,"Maas, Sarah J.",,"=""1619632217""","=""9781619632219""",0,Bloomsbury Publishing,Kindle Edition,451,2023,2014,,2024/12/05,"to-read, not-bought, romantasy","to-read (#20), not-bought (#86), romantasy (#38)",to-read,,,,0,0
76703559,"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,"Maas, Sarah J.",,"=""163973094X""","=""9781639730940""",0,Bloomsbury Publishing,Hardcover,406,2023,2012,,2024/12/05,"to-read, not-bought, romantasy","to-read (#21), not-bought (#85), romantasy (#37)",to-read,,,,0,0
171881689,"Soul of a Witch (Souls Trilogy, #3)",Harley Laroux,"Laroux, Harley",,"=""""","=""""",0,,Kindle Edition,600,2023,2023,,2024/12/05,"to-read, adult, not-bought, romantasy","to-read (#15), adult (#54), not-bought (#84), romantasy (#36)",to-read,,,,0,0
58930992,"Her Soul for Revenge (Souls Trilogy, #2)",Harley Laroux,"Laroux, Harley",,"=""""","=""""",0,,Kindle Edition,559,2021,2021,,2024/12/05,"to-read, adult, not-bought, romantasy","to-read (#14), adult (#53), not-bought (#83), romantasy (#35)",to-read,,,,0,0
57091457,"Her Soul to Take (Souls Trilogy, #1)",Harley Laroux,"Laroux, Harley",,"=""""","=""""",0,,Kindle Edition,493,2021,2021,,2024/12/05,"to-read, adult, not-bought, romantasy","to-read (#13), adult (#52), not-bought (#82), romantasy (#34)",to-read,,,,0,0
101145836,"Wildfire (Maple Hills, #2)",Hannah  Grace,"Grace, Hannah",,"=""1668026279""","=""9781668026274""",0,Atria Books,Paperback,387,2023,2023,,2024/12/05,no,no (#5),no,,,,0,0
182626871,Moments of Madness (The Hunters #2),T.L.  Smith,"Smith, T.L.",,"=""""","=""""",0,,Kindle Edition,302,2023,2023,,2024/12/05,no,no (#4),no,,,,0,0
53180698,"Deviant King (Royal Elite, #1)",Rina Kent,"Kent, Rina",,"=""1685451217""","=""9781685451219""",0,"Blackthorn Books, LLC",Kindle Edition,364,2020,2019,,2024/12/05,no,no (#3),no,,,,0,0
60909831,"Mile High (Windy City, #1)",Liz Tomforde,"Tomforde, Liz",,"=""""","=""9798446572199""",0,Hodder,Paperback,603,2022,2022,,2024/12/05,no,no (#2),no,,,,0,0
56732449,The Love Hypothesis,Ali Hazelwood,"Hazelwood, Ali",,"=""0593336828""","=""9780593336823""",0,Berkley Books,Paperback,373,2021,2021,,2024/12/05,no,no (#1),no,,,,0,0
23349901,Percy Jackson's Greek Heroes,Rick Riordan,"Riordan, Rick",John Rocco,"=""1423183657""","=""9781423183655""",0,Disney-Hyperion Books,Hardcover,404,2015,2015,,2024/12/05,"to-read, bought, fantasy, greek","to-read (#7), bought (#53), fantasy (#6), greek (#16)",to-read,,,,0,0
233871276,"Untitled (The Empyrean, #5)",Rebecca Yarros,"Yarros, Rebecca",,"=""""","=""""",0,,Unknown Binding,,,,,2025/10/23,"to-read, adult, not-bought, romantasy","to-read (#147), adult (#44), not-bought (#73), romantasy (#32)",to-read,,,,0,0
204802999,"Untitled (The Empyrean, #4)",Rebecca Yarros,"Yarros, Rebecca",,"=""""","=""""",0,,Hardcover,,,,,2025/10/23,"to-read, adult, not-bought, romantasy","to-read (#146), adult (#43), not-bought (#72), romantasy (#31)",to-read,,,,0,0
209439446,"Onyx Storm (The Empyrean, #3)",Rebecca Yarros,"Yarros, Rebecca",,"=""1649374186""","=""9781649374189""",0,Red Tower Books,Hardcover,544,2025,2025,,2025/10/23,"to-read, adult, not-bought, romantasy","to-read (#145), adult (#42), not-bought (#71), romantasy (#30)",to-read,,,,0,0
90202302,"Iron Flame (The Empyrean, #2)",Rebecca Yarros,"Yarros, Rebecca",,"=""1649374178""","=""9781649374172""",0,Entangled: Red Tower Books,Hardcover,623,2023,2023,,2025/10/23,"to-read, adult, not-bought, romantasy","to-read (#144), adult (#41), not-bought (#70), romantasy (#29)",to-read,,,,0,0
61431922,"Fourth Wing (The Empyrean, #1)",Rebecca Yarros,"Yarros, Rebecca",,"=""1649374046""","=""9781649374042""",0,Entangled: Red Tower Books,Hardcover,517,2023,2023,,2025/10/23,"to-read, adult, not-bought, romantasy","to-read (#143), adult (#40), not-bought (#69), romantasy (#28)",to-read,,,,0,0
52857700,"House of Flame and Shadow (Crescent City, #3)",Sarah J. Maas,"Maas, Sarah J.",,"=""1681193094""","=""9781681193090""",0,Bloomsbury Publishing,ebook,835,2024,2024,,2025/10/22,"to-read, not-bought, adult, romantasy","to-read (#142), not-bought (#68), adult (#39), romantasy (#27)",to-read,,,,0,0
40132775,"House of Sky and Breath (Crescent City, #2)",Sarah J. Maas,"Maas, Sarah J.",,"=""1408884429""","=""9781408884423""",0,Bloomsbury Publishing,Hardcover,805,2022,2022,,2025/10/22,"to-read, adult, romantasy, not-bought","to-read (#141), adult (#38), romantasy (#26), not-bought (#67)",to-read,,,,0,0
44778083,"House of Earth and Blood (Crescent City, #1)",Sarah J. Maas,"Maas, Sarah J.",,"=""1635574048""","=""9781635574043""",0,Bloomsbury Publishing,Hardcover,803,2020,2020,,2025/10/22,"to-read, not-bought, adult, romantasy","to-read (#140), not-bought (#66), adult (#37), romantasy (#25)",to-read,,,,0,0
1381,The Odyssey,Homer,"Homer, Homer","Robert Fagles, Bernard Knox","=""0143039954""","=""9780143039952""",0,Penguin Classics ,Paperback,541,2006,-800,,2025/10/22,"to-read, greek, fantasy","to-read (#138), greek (#13), fantasy (#1)",to-read,,,,0,0
77265004,The Iliad,Homer,"Homer, Homer",Emily Wilson,"=""1324001801""","=""9781324001805""",0,W. W. Norton & Company,Hardcover,848,2023,-750,,2025/10/22,"to-read, fantasy, greek","to-read (#139), fantasy (#2), greek (#14)",to-read,,,,0,0
6148028,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,"Collins, Suzanne",,"=""0439023491""","=""9780439023498""",3.0,Scholastic Press,Hardcover,391,2009,2009,2024/03/16,2024/12/05,"bought, dystopian","bought (#33), dystopian (#4)",read,,,,1,0
7260188,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,"Collins, Suzanne",,"=""0439023513""","=""9780439023511""",5.0,Scholastic Press,Hardcover,390,2010,2010,2024/03/17,2024/12/05,"bought, dystopian","bought (#34), dystopian (#5)",read,,,,1,0
